ID,Creak Claim,Answer
C1,Peter Sellers spent his life as a single bachelor.,FALSE
C2,No voice actors sang in the Beauty and the Beast.,FALSE
C3,Richard Branson became a Police officer that shot and killed a man.,FALSE
C4,The first time gender equality was brought up was in 2010.,FALSE
C5,The Western Wall ceases to exist anymore.,FALSE
C6,Ernst Haeckel publish books that focused on evolutionary biology.,TRUE
C7,One can watch Bugs Bunny on the television.,TRUE
C8,Some people study books about Stoicism.,TRUE
C9,Alfred Nobel took a career in acting.,FALSE
C10,"Augusta, Georgia has many beaches to swim at.",TRUE
C11,Kia Motors ceases to exist as an entity.,FALSE
C12,Modern spaceflight started prior to World War I.,FALSE
C13,The Statue of Freedom and the Statue of Liberty are the same thing.,FALSE
C14,A boulevard can typically be found in any city or town.,TRUE
C15,Ronda Rousey has proved that girls are unable to participate in martial arts.,FALSE
C16,Dmitry Medvedev plays hockey for the French national team.,FALSE
C17,Pope Gregory VII released his best song in 2015.,FALSE
C18,Charles the Bald ruled over France and Italy during the 9th century.,TRUE
C19,Dwyane Wade won 3 championships with the Miami Heat.,TRUE
C20,Pablo Neruda wrote a great number of exceptional poems.,TRUE
C21,The cartoon of Bugs Bunny was influenced by the Rick and Morty cartoon.,FALSE
C22,The couple went to the movie theater to watch Prison Break.,FALSE
C23,Marshall McLuhan practice Islam fervently and has partaken in various jihads.,FALSE
C24,Robert De Niro has a lot of popular songs he sings.,FALSE
C25,Dwyane Wade played basketball during his career.,TRUE
C26,Nights begin to grow longer during the Autumn.,TRUE
C27,Nancy Pelosi represents her district in the U.S. Congress.,TRUE
C28,Some women experience menopause when they age.,TRUE
C29,Modern vehicles use friction to Brake or slow down to come to a stop.,TRUE
C30,Alexander Graham Bell descended from a Scottish physicist.,FALSE
C31,Wilhelm Wundt studied under Sigmund Freud.,FALSE
C32,Lake Tanganyika ceases to exist after drought.,FALSE
C33,Florence Nightingale acted in many movies and won an Oscar.,FALSE
C34,Satanism and Christianity go hand in hand.,FALSE
C35,Boris Yeltsin lead the British to victory over the French in a war.,FALSE
C36,Alexander Graham Bell will contest in the next presidential elections.,FALSE
C37,Margaret Thatcher leads the Government of the United Kingdom.,FALSE
C38,George S. Patton illustrated children's books for a living.,FALSE
C39,Only on Wednesday can people go to church.,FALSE
C40,The history of mathematics spans many centuries.,TRUE
C41,Victoria Beckham married David Beckham and are still together.,TRUE
C42,LeBron James is the star of the US Open.,FALSE
C43,One can see both the Statue of Freedom and the United States Capitol at the same time.,TRUE
C44,Nicholas II of Russia recently lost re-election to Vladimir Putin.,FALSE
C45,John Dryden died with no children.,FALSE
C46,Dan Brown criticizes the Catholic Church.,TRUE
C47,People need a dice and a deck of cards to play Texas hold 'em.,FALSE
C48,Winning the US Open is one of the greatest achievements and also one of the major titles in the tennis world.,TRUE
C49,Benito Mussolini supported democracy for countries.,FALSE
C50,Robert Fripp died due to the pandemic last year.,FALSE
C51,People go to Dave Grohl for cooking advice.,FALSE
C52,Koreans split into East and West Korea.,FALSE
C53,Laurence Fishburne ceases to act in movies.,FALSE
C54,The civil engineer designed the new suspension bridge in the city.,TRUE
C55,Quantum mechanics can fix a lot of cars.,FALSE
C56,Slayer has performed in various concerts around the world.,TRUE
C57,"As a lawyer, John C. Calhoun fought for African American rights.",FALSE
C58,Richard Linklater has won awards for his work as a director.,TRUE
C59,Florence Nightingale treated people in England.,TRUE
C60,the President of India lives in india.,TRUE
C61,The civil engineer designed the road system in the city.,TRUE
C62,The Russian Revolution inspired the American Revolution,FALSE
C63,Richard Linklater directed some popular movies.,TRUE
C64,All nuns act in holy ways.,TRUE
C65,The Statue of Freedom stands taller than the Statue of Liberty.,FALSE
C66,Professional boxing often involves very violent fighting.,TRUE
C67,John Dewey famously did not believe in God.,TRUE
C68,The Druze serve as the main Christian group in Lebanon.,FALSE
C69,Brakes make the car go faster.,FALSE
C70,Zack Ryder now wrestles for WWE.,FALSE
C71,"You can celebrate lent, the Atheist's holiday.",FALSE
C72,Menopause happens to women at an older age.,TRUE
C73,Women use their scrotum to create babies.,FALSE
C74,America was a member of the Axis powers.,FALSE
C75,Good Friday plays an important role in religious festivities in Mexico.,TRUE
C76,Susan Sarandon votes like a conservative Republican.,FALSE
C77,Hector Berlioz made music for a living.,TRUE
C78,"Someone living in Massachusetts would most likely travel by plane to reach Portsmouth, New Hampshire.",FALSE
C79,Menachem Begin represented a country based on Christianity.,FALSE
C80,"People either know Tim McGraw by having listened to his music, watching him on TV, or familiarity with his wife, Faith Hill.",TRUE
C81,Bruce Lee used to teach martial art. He opened a martial arts school.,TRUE
C82,Michelle Obama birthed sons as part of the family of Barack Obama.,FALSE
C83,The Turkish invasion of Cyprus involved the use of nuclear weapons.,FALSE
C84,"Robert De Niro loves his country, Germany.",FALSE
C85,Some females can have a scrotum if they are transgender.,TRUE
C86,Many people eat dosa in India.,TRUE
C87,Victoria Beckham married a soccer player.,TRUE
C88,Susan Sarandon performed in front of the camera.,TRUE
C89,Nuns get paid millions of dollars for their work.,FALSE
C90,Harry Potter can teach classes on how to fly on a broomstick.,TRUE
C91,"Dance remains a critical component of theatrical productions, especially musicals.",TRUE
C92,The paternal side of the family of Barack Obama originates from Africa.,TRUE
C93,You can get motion sickness on a boat,TRUE
C94,The attack on Pearl Harbor took place in 1941.,TRUE
C95,Geoffrey Chaucer typed his stories on a computer.,FALSE
C96,Petro Poroshenko ruled as President of Ukraine.,TRUE
C97,Humans can survive without any sleep.,FALSE
C98,Badminton requires use of a racket to play.,TRUE
C99,A Jury may decide whether a criminal is guilty or innocent.,TRUE
C100,Eddie Murphy makes entire audiences laugh out loud.,TRUE
C101,"When people address a Judge, they say, Your Honor.",TRUE
C102,The Royal Mail began in the 18th century.,FALSE
C103,Alstom good engineering company gives job for every person.,FALSE
C104,Elon Musk has a Twitter account he posts to.,TRUE
C105,Homer wrote many different great works of his time.,TRUE
C106,Lewis Carroll still performs on stage occasionally.,FALSE
C107,The vietnam war took place in the 1990s.,FALSE
C108,Argentina and the United Kingdom faught each other during the Falklands War.,TRUE
C109,Zorro kills innocent people for fun.,FALSE
C110,Jane Austen attends Harvard University and studies laws.,FALSE
C111,People who write Fantasy books use fictitious plots.,TRUE
C112,An Electrician replaces the electrical wiring in your house.,TRUE
C113,Robert McNamara played a large roll in escalating U.S. involvement in Vietnam.,TRUE
C114,John Philip Sousa never learned to play an instrument.,FALSE
C115,The Presidency of Richard Nixon began in 1969.,TRUE
C116,Lauren Bacall suffered from being unattractive and thus did not do well socially.,FALSE
C117,Aretha Franklin received many accolades for her music.,TRUE
C118,Catholic Monarchs practice the Jewish religion.,FALSE
C119,Roberta Metsola is the President of the European Parliament.,FALSE
C120,Lil Wayne produces songs that are great for dancing to.,TRUE
C121,People that work for the Honda company need to know how to prepare foods.,FALSE
C122,Mike Tyson got a Nobel Prize for his work as a boxer.,FALSE
C123,American Aziz Ansari swims in Olympics.,FALSE
C124,Harvey Milk died peacefully in his sleep.,FALSE
C125,Monks are elite athletes that practice sports all day long.,FALSE
C126,Part of a Judge's job is to interpret the law impartially.,TRUE
C127,Fidel Castro offered support for the campaign of Augusto Pinochet.,FALSE
C128,Saif Ali Khan acts and produces movies in Hindi.,TRUE
C129,Willard Van Orman Quine wrote multiple books.,TRUE
C130,Laughter can often be heard after a scary story is told.,FALSE
C131,Christopher Lee portrays many different characters.,TRUE
C132,Watchmakers make and fix watches for a living.,TRUE
C133,Some South Africans speak the Xhosa language.,TRUE
C134,Hamas has dedicated itself to proving the holocaust happened.,FALSE
C135,The Petroleum industry includes fields such as space travel and cow farming.,FALSE
C136,Muslims pracice the teachings of Buddha.,FALSE
C137,A Sniper uses a violin in his craft.,FALSE
C138,China Central Television broadcasts American propaganda in China.,FALSE
C139,People who practice Interior design have an eye for detail.,TRUE
C140,Hamas has origins that can be traced to the Middle East.,TRUE
C141,Harper Lee did not know how to write.,FALSE
C142,"Doner kebab belongs to the Turkish cuisine, made on a vertical spit from lamb meat.",TRUE
C143,Ballet strengthens the lower body and specially the toes.,TRUE
C144,Sun Tzu founded the Caprice Sun drink company.,FALSE
C145,The Chinese Communist Party proved victorious in the Chinese Civil War and established the People's Republic of China.,TRUE
C146,Breast cancer only occurs in women and not in men.,FALSE
C147,Breast cancer only occurs in women and not in men.,FALSE
C148,"Marxists believe in Marxism, the political philosophy about workers owning the means of production.",TRUE
C149,Jesse Ventura has worked in both entertainment and government.,TRUE
C150,One who only understands Spanish can read Chinese characters and understand them.,FALSE